SETTLEMENTDATE,TOTALDEMAND_VIC,TOTALDEMAND_NSW,TOTALDEMAND_QLD,TOTALDEMAND_SA,TOTALDEMAND_TAS
01-01-2020 18:00,4460.98,8438.46,7806.6,1104.43,1053.67
01-01-2020 18:30,4511.73,8307.12,7809.47,1233.28,1067.17
01-01-2020 19:00,4473.78,8218.6,7850.27,1302.24,1075.79
01-01-2020 19:30,4375.39,8184.05,7810.09,1356.97,1075.95
01-01-2020 20:00,4362.22,8120.49,7769.28,1375.64,1069.75
01-01-2020 20:30,4368.19,7983.82,7658.33,1389.68,1081.37
01-01-2020 21:00,4290.62,7801.16,7470.52,1378.45,1063.19
01-01-2020 21:30,4201.61,7721.82,7252.72,1335.98,1054.65
01-01-2020 22:00,4084.88,7616.27,7051.53,1290.32,1039.81
01-01-2020 22:30,3989.79,7540.84,6898.7,1264.05,1015.21
01-01-2020 23:00,3949.52,7390.02,6727.81,1248.47,1015.78
01-01-2020 23:30,4161.55,7171.48,6462.68,1245.8,1007.56
02-01-2020 00:00,4179.68,7038.56,6217.92,1419.96,997.78
02-01-2020 00:30,4009.42,6846.48,6085.86,1348.65,993.95
02-01-2020 01:00,3890.59,6609.17,5932.56,1311.34,984.17
02-01-2020 01:30,3808.22,6366.87,5833.22,1234.27,969.55
02-01-2020 02:00,3698.75,6195.79,5747.96,1194.07,976.77
02-01-2020 02:30,3616.33,6097.17,5665.23,1176.69,970.61
02-01-2020 03:00,3568.79,6037.57,5645.35,1172.08,966.31
02-01-2020 03:30,3575.64,6044.42,5631.38,1165.66,973.87
02-01-2020 04:00,3589.27,6076.03,5627.45,1158.16,977.12
02-01-2020 04:30,3666.17,6241.84,5644.24,1152.82,986.48
02-01-2020 05:00,3719.43,6335.87,5692.81,1163.67,988.31
02-01-2020 05:30,3856.54,6534.93,5717.75,1149.75,1018.81
02-01-2020 06:00,3972.69,6759.37,5748.14,1167.64,1039.72
02-01-2020 06:30,4115.17,6925.48,5861.98,1185.33,1051.45
02-01-2020 07:00,4225.19,7096.01,5973.54,1196.77,1050.37
02-01-2020 07:30,4200.02,7276.92,6167.49,1154.73,1064.47
02-01-2020 08:00,4219.34,7462.45,6228.1,1101.3,1081.79
02-01-2020 08:30,4239.15,7565.95,6373.31,1061.81,1076.67
02-01-2020 09:00,4165.28,7590.13,6365.16,998.01,1073.45
02-01-2020 09:30,4100.04,7639.87,6400.18,943.3,1078.72
02-01-2020 10:00,4036.73,7637.71,6396.05,872.3,1093.07
02-01-2020 10:30,3993.03,7624.85,6374.7,850.71,1079.3
02-01-2020 11:00,3962.8,7637.84,6404.11,810.47,1068.57
02-01-2020 11:30,3974.35,7672.68,6424.39,805.54,1027.32
02-01-2020 12:00,3982.7,7680.36,6501.57,807.79,1003.65
02-01-2020 12:30,4020.25,7723.33,6535.92,830.32,992.98
02-01-2020 13:00,4062.5,7778.99,6629.44,861.49,984.31
02-01-2020 13:30,4127.72,7854.25,6758.53,911.78,1006.62
02-01-2020 14:00,4247.99,7991.33,6925.13,973.96,1009.6
02-01-2020 14:30,4387.02,8116.61,7091.71,1010.47,988.69
02-01-2020 15:00,4488.84,8336.8,7289.63,1082.62,997.84
02-01-2020 15:30,4654.34,8585.11,7564,1163.35,1007.97
02-01-2020 16:00,4824.55,8823.92,7744.76,1288.13,1043.19
02-01-2020 16:30,5015.51,8954.77,7962.62,1396.41,1069.5
02-01-2020 17:00,5192.69,9101.15,8197.36,1507.01,1098.17
02-01-2020 17:30,5270.39,9061.22,8279.59,1624.76,1116.13
02-01-2020 18:00,5286.76,9026.27,8316.82,1697.05,1129.86
02-01-2020 18:30,5237.23,8878.47,8257.94,1753.45,1147.57
02-01-2020 19:00,5168.97,8782.49,8276.44,1753.61,1165.4
02-01-2020 19:30,5057.75,8646.91,8260.58,1726.46,1170.46
02-01-2020 20:00,4977.65,8607.86,8169.69,1673.34,1178.18
02-01-2020 20:30,4893.97,8362.67,8041.66,1651.28,1197.43
02-01-2020 21:00,4726.28,8123.57,7753.14,1596.55,1177.7
02-01-2020 21:30,4564.58,8012.09,7496.3,1503.95,1144.66
02-01-2020 22:00,4399.96,7802.82,7223.37,1468.94,1104.79
02-01-2020 22:30,4288.14,7798.2,7072.61,1423.74,1086.91
02-01-2020 23:00,4259.02,7620.37,6886.75,1381.87,1051.01
02-01-2020 23:30,4458.94,7442.42,6626.76,1337.02,1037.64
03-01-2020 00:00,4416.13,7279.42,6334.54,1490.12,1016.58
03-01-2020 00:30,4249.93,7090.53,6205.88,1393.34,1000.56
03-01-2020 01:00,4117.15,6867.55,6009.05,1327.82,990.51
03-01-2020 01:30,3999.88,6607.01,5920.22,1274.88,962.53
03-01-2020 02:00,3868.89,6379.64,5845.92,1213.44,986.21
03-01-2020 02:30,3764.29,6263.72,5803.35,1218.24,976.02
03-01-2020 03:00,3730.57,6238.67,5711.54,1192,979.45
03-01-2020 03:30,3734.79,6228.45,5737.63,1167.75,982.72
03-01-2020 04:00,3757.03,6217.33,5736.57,1156.7,995.25
03-01-2020 04:30,3820.95,6366.53,5758.69,1155.61,1009.14
03-01-2020 05:00,3880.27,6427.33,5751.54,1140.09,1020.93
03-01-2020 05:30,3977.67,6646.19,5821.91,1158.15,1038
03-01-2020 06:00,4096.8,6870.32,5856.49,1183.31,1051.5
03-01-2020 06:30,4244.53,7129.26,5986.08,1199.72,1079.35
03-01-2020 07:00,4367.11,7331.01,6089.19,1232.05,1097.34
03-01-2020 07:30,4329.36,7507.61,6208.1,1240.14,1116.79
03-01-2020 08:00,4412.77,7662.33,6287.22,1270.56,1103.64
03-01-2020 08:30,4425.89,7780.29,6339.93,1333.44,1109.47
03-01-2020 09:00,4348.89,7827.08,6299.17,1350.2,1095.3
03-01-2020 09:30,4322.32,7910.03,6275.45,1335.04,1072.18
03-01-2020 10:00,4328.7,8029.42,6258.41,1319.6,1055.58
03-01-2020 10:30,4341.1,8185.24,6212.42,1336.38,1043.92
03-01-2020 11:00,4390.27,8325.86,6231.05,1417.69,1028.83
03-01-2020 11:30,4464.44,8561.79,6293.51,1475.44,1019.46
03-01-2020 12:00,4515.37,8779.78,6383.76,1531.75,972.47
03-01-2020 12:30,4654.38,9001.77,6483.13,1586.69,954.73
03-01-2020 13:00,4794.03,9209.42,6596.18,1682.15,959.42
03-01-2020 13:30,4924.3,9450.23,6727.96,1714.55,961.95
03-01-2020 14:00,5109.02,9718.05,6854.81,1809.83,974.94
03-01-2020 14:30,5376.68,9989.26,7038.57,1831.9,979.24
03-01-2020 15:00,5638.42,10190.21,7157.07,1894.04,961.23
03-01-2020 15:30,5890.11,10432.6,7344.63,1977.29,998.06
03-01-2020 16:00,6150.81,10668.5,7543.44,2127,1029.78
03-01-2020 16:30,6405.5,10789.24,7777.84,2217.04,1090.74
03-01-2020 17:00,6688.78,10858.09,8014.44,2359.57,1124.66
03-01-2020 17:30,6776.93,10713.52,8084.58,2446.21,1117.19
03-01-2020 18:00,6889.7,10647.08,8051.27,2515.04,1137.24
03-01-2020 18:30,6864.66,10388.36,7966.77,2529.68,1125.21
03-01-2020 19:00,6793.83,10160.62,7995.88,2585.25,1091.7
03-01-2020 19:30,6609.41,9950.09,7980.47,2538.47,1084.62
03-01-2020 20:00,6403.67,9776.93,7927.27,2413.07,1058.02
03-01-2020 20:30,6213.22,9516.29,7799.66,2274.24,1025.98
03-01-2020 21:00,5886.42,9211.98,7533.48,2180.29,1002.27
03-01-2020 21:30,5608.82,8981.35,7348.2,2033.08,963.76
03-01-2020 22:00,5304.64,8719.7,7099.98,1894.62,906.22
03-01-2020 22:30,5071.9,8570.59,6968.39,1724.12,862.71
03-01-2020 23:00,4887.78,8246.02,6775.09,1584.04,857.35
03-01-2020 23:30,4996.32,7964.58,6496.29,1544.57,858.07
04-01-2020 00:00,4881.77,7746.15,6256.42,1660.72,858.35
04-01-2020 00:30,4551.19,7535.36,6125.75,1568.01,839.88
04-01-2020 01:00,4300.68,7307.37,5929.62,1533.09,837.39
04-01-2020 01:30,4162.92,7000.25,5798.22,1456.98,854.06
04-01-2020 02:00,4072.21,6779.59,5729.26,1417.75,849.5
04-01-2020 02:30,4000.75,6624.14,5702.74,1350.3,859.59
04-01-2020 03:00,3949.76,6536.29,5641.3,1327.79,861.81
04-01-2020 03:30,3947.3,6495.37,5652.93,1304.29,857.47
04-01-2020 04:00,3945.15,6470.78,5624.79,1295.47,854.55
04-01-2020 04:30,3991.48,6485.3,5617.5,1272.85,863.01
04-01-2020 05:00,3997.35,6480.8,5579.7,1253.04,894.29
04-01-2020 05:30,4017.21,6557.64,5590.4,1197.92,949.95
04-01-2020 06:00,4010.12,6633.56,5540.04,1220.39,1000.46
04-01-2020 06:30,4097.79,6763.95,5519.27,1241.29,1008.3
04-01-2020 07:00,4148.58,6955.65,5522.04,1220.22,1005.01
04-01-2020 07:30,4161.9,7256.29,5595.96,1230.57,1041.18
04-01-2020 08:00,4215.95,7573.41,5606.52,1146.47,1080.43
04-01-2020 08:30,4272.08,7956.57,5743.73,1051.33,1100.55
04-01-2020 09:00,4251.92,8262.82,5724.38,1061.55,1094.61
04-01-2020 09:30,4354.84,8771.94,5629.78,1100.52,1031.62
04-01-2020 10:00,4402.89,9179.73,5561.14,1072.57,957.65
04-01-2020 10:30,4442.53,9643.19,5667.31,998.4,965.34
04-01-2020 11:00,4517.29,10038.1,5691.98,922.08,963.46
04-01-2020 11:30,4530.59,10402.25,5741.66,857.53,976.06
04-01-2020 12:00,4576.58,10757.67,5816.9,848.35,957.85
04-01-2020 12:30,4752.95,11036.31,5978.9,752.68,951.85
04-01-2020 13:00,4853.07,11259.31,6143.58,762.1,947.03
04-01-2020 13:30,4736.34,11344.93,6251.98,761.95,947.3
04-01-2020 14:00,4483,11448.2,6395.55,768.25,944.07
04-01-2020 14:30,4232.17,11547.89,6525.87,740.39,952.7
04-01-2020 15:00,4072.54,11801.52,6782.75,783.99,948.17
04-01-2020 15:30,4093.21,11968.77,7015.96,828.98,963.07
04-01-2020 16:00,4092.44,12177.46,7168.24,997.87,984.87
04-01-2020 16:30,4091.98,12334.04,7300.15,1113.23,995.02
04-01-2020 17:00,4188.97,12148.06,7542.14,1112.5,1024.25
04-01-2020 17:30,4274.28,12153.65,7659.16,1234.13,1041.29
04-01-2020 18:00,4347.92,11977.22,7609.22,1245.98,1043.38
04-01-2020 18:30,4331.65,11616.79,7685.92,1269.02,1054.05
04-01-2020 19:00,4327.25,11460.19,7766.5,1238.01,1057.8
04-01-2020 19:30,4350.75,11389.8,7807.34,1276.16,1046.01
04-01-2020 20:00,4324.63,11668.34,7647.78,1248.47,1046.18
04-01-2020 20:30,4366.33,11660.64,7504.08,1255.23,1063.17
04-01-2020 21:00,4226.94,11169.02,7306.64,1240.03,1044.42
04-01-2020 21:30,4178.74,10396.27,7073.11,1192.69,1027.32
04-01-2020 22:00,4068.65,9743.76,6901.65,1180.03,1018.09
04-01-2020 22:30,4019.85,9384.84,6825.3,1172.65,1020.46
04-01-2020 23:00,4057.91,8832.74,6679.97,1162.88,1006.86
04-01-2020 23:30,4218.82,8317.95,6454.47,1153.98,999.54
05-01-2020 00:00,4243.22,7957.69,6207.21,1306.54,984.42
05-01-2020 00:30,4046.89,7642.47,6043.31,1271.54,974.97
05-01-2020 01:00,3886.06,7369.01,5907.62,1231.59,959.3
05-01-2020 01:30,3765.07,7003.58,5833.7,1164.15,962.26
05-01-2020 02:00,3651.9,6721.35,5738.31,1119.49,957.65
05-01-2020 02:30,3577.78,6637.79,5690.55,1101.28,956.65
05-01-2020 03:00,3516.92,6479.6,5679.92,1082.93,952.24
05-01-2020 03:30,3459.91,6366.62,5629.5,1080.95,959.15
05-01-2020 04:00,3440.09,6375.56,5592.22,1080.24,959.63
05-01-2020 04:30,3478.62,6367.93,5594.57,1082.15,967.34
05-01-2020 05:00,3475.63,6312.99,5582.76,1073.38,967.88
05-01-2020 05:30,3523.81,6262.66,5528.89,1076.04,977.27
05-01-2020 06:00,3544.68,6297.82,5451.19,1068.22,989.87
05-01-2020 06:30,3651.28,6413.66,5426.99,1061.68,1007.42
05-01-2020 07:00,3744.85,6551.17,5407.7,1098.61,1030.59
05-01-2020 07:30,3806.41,6764.96,5474.61,1101.4,1056.79
05-01-2020 08:00,3892.02,6841.7,5448.83,1080.83,1075.92
05-01-2020 08:30,4011.76,7132.49,5505.03,1063.18,1074.52
05-01-2020 09:00,4146.63,7189.25,5496.36,1055.41,1071.2
05-01-2020 09:30,4226,7246.56,5515.78,1079.82,1055.54
05-01-2020 10:00,4210.66,7211.23,5530.47,1095.3,1048.56
05-01-2020 10:30,4166.76,7212.47,5603.26,1092.66,1038.61
05-01-2020 11:00,4063.94,7256.36,5637.27,1103.9,1029.47
05-01-2020 11:30,4008.42,7267.67,5672.78,1080.92,1007.61
05-01-2020 12:00,3995.14,7384.94,5829.6,1037.37,960.61
05-01-2020 12:30,3966.51,7496.37,5988.98,1042.78,979
05-01-2020 13:00,3985.91,7616.92,6117.53,1016.31,966.77
05-01-2020 13:30,3850.14,7694.23,6291.37,1003.03,962.19
05-01-2020 14:00,3860.36,7870.05,6469.55,1037.08,963.71
05-01-2020 14:30,3852.94,7982.81,6632.51,1059.94,946.44
05-01-2020 15:00,3975.56,8108.31,6814.24,1084.78,957.18
05-01-2020 15:30,4103.74,8139.64,7056.12,1105.11,958.87
05-01-2020 16:00,4205.27,8195.54,7285.78,1137.49,963.54
05-01-2020 16:30,4317.07,8181.16,7447.75,1153.83,977.74
05-01-2020 17:00,4430.75,8220.91,7699.28,1179.66,1023.82
05-01-2020 17:30,4474.27,8170.66,7785.59,1233.91,1028.95
05-01-2020 18:00,4487.48,8141.73,7919.55,1200.12,1051.02
05-01-2020 18:30,4490.16,8065.51,7914.61,1188.56,1074.48
05-01-2020 19:00,4424.31,7940.75,7917.65,1175.06,1076.57
05-01-2020 19:30,4381.71,7862.51,7911.68,1195.49,1071.25
05-01-2020 20:00,4382.27,7830.62,7857.58,1214.46,1068.42
05-01-2020 20:30,4373.05,7669.02,7763.19,1277.95,1084.22
05-01-2020 21:00,4253.3,7477.21,7509.21,1271.68,1086.02
05-01-2020 21:30,4125.7,7312.58,7336.89,1255.05,1064.8
05-01-2020 22:00,4012.7,7127.11,7069.02,1211.04,1040.79
05-01-2020 22:30,3913.41,7049.61,6971.92,1166.92,1020.45
05-01-2020 23:00,3870.85,6865.27,6768.31,1163.93,989.57
05-01-2020 23:30,4070.49,6698.88,6525.37,1171.47,972.02
06-01-2020 00:00,4115.31,6568.87,6287.08,1357.73,978.96
06-01-2020 00:30,3988.06,6415.54,6111.76,1327.42,958.03
06-01-2020 01:00,3860.23,6259.52,6002.28,1278.29,965.64
06-01-2020 01:30,3756.9,6097.09,5915.48,1193.07,960.52
06-01-2020 02:00,3622.54,5924.12,5814.07,1131.01,963.69
06-01-2020 02:30,3542.29,5873.73,5816.02,1093.85,969.58
06-01-2020 03:00,3540.52,5914.18,5778.9,1075.44,974.05
06-01-2020 03:30,3509.63,5901.21,5772.09,1075.72,982.08
06-01-2020 04:00,3524.74,6010.89,5771.78,1067.66,995.46
06-01-2020 04:30,3639.71,6173.74,5760.62,1064.95,1010.49
06-01-2020 05:00,3807.27,6259.7,5828.04,1106.34,1024.08
06-01-2020 05:30,4045.85,6736.69,5909.14,1114.38,1063.74
06-01-2020 06:00,4244.79,6929.16,5994.41,1145.27,1086.38
06-01-2020 06:30,4490.29,7203.53,6211.75,1173.13,1071.38
06-01-2020 07:00,4717.51,7529.11,6387.33,1233.56,1089.64
06-01-2020 07:30,4842.92,7816.26,6565.74,1222.85,1117.45
06-01-2020 08:00,4945.07,8026.01,6667.8,1148.6,1101.4
06-01-2020 08:30,5048.5,8130.86,6780.51,1086.64,1086.89
06-01-2020 09:00,5089.22,8174.66,6788.87,1015.67,1073.4
06-01-2020 09:30,5106.57,8206.2,6751.96,942.3,1070.67
06-01-2020 10:00,5095.48,8192.55,6690.87,875.38,1069.62
06-01-2020 10:30,5087.46,8209.41,6705.98,785.56,1052.42
06-01-2020 11:00,5048.88,8235.96,6750.08,721.97,1050.06
06-01-2020 11:30,5041.26,8236.51,6766.33,681.98,1046.09
06-01-2020 12:00,5013.97,8228.3,6818.52,660.35,1015.12
06-01-2020 12:30,4993.76,8237.96,6944.38,647.57,1013.98
06-01-2020 13:00,5006.6,8255.72,7080.75,615.25,1021.81
06-01-2020 13:30,5007.88,8152.67,7180.3,644.23,1023.5
06-01-2020 14:00,4994.93,8211.3,7295.75,647.17,1026.8
06-01-2020 14:30,4986.67,8322.02,7423.56,641.89,1004.86
06-01-2020 15:00,5002.46,8386.17,7635.63,632.88,993.22
06-01-2020 15:30,5009.62,8446.68,7809.08,692.21,1000.1
06-01-2020 16:00,5071.82,8606.92,7918.17,759.42,1013.68
06-01-2020 16:30,5167.46,8664.98,8105.08,805.04,1036.27
06-01-2020 17:00,5216.36,8795.51,8250.07,898.28,1053
06-01-2020 17:30,5153.63,8684.5,8188.67,1018.64,1073.92
06-01-2020 18:00,5119.95,8665.94,8221.39,1090.22,1088.83
06-01-2020 18:30,5004.84,8539.69,8179,1192.36,1094.64
06-01-2020 19:00,4912.9,8380.67,8278.74,1233.06,1095.03
06-01-2020 19:30,4892.43,8264.16,8280.14,1258.53,1092.63
06-01-2020 20:00,4880.52,8168.24,8180.88,1279.04,1099.36
06-01-2020 20:30,4806.88,8058.54,8022.81,1301.71,1130.28
06-01-2020 21:00,4676.4,7893.24,7790.34,1318.85,1123.12
06-01-2020 21:30,4531.87,7778.43,7566.21,1296.26,1108.57
06-01-2020 22:00,4402.47,7619.8,7301.56,1243.76,1082.39
06-01-2020 22:30,4270.94,7580.76,7107.08,1191.22,1056.57
06-01-2020 23:00,4243.19,7456.01,6890.19,1138.44,1031.83
06-01-2020 23:30,4428.63,7314.69,6575.66,1157.11,1035.82
07-01-2020 00:00,4461.26,7205.62,6364.75,1354.09,1048.65
07-01-2020 00:30,4300,6997.07,6201.87,1312.4,1039.76
07-01-2020 01:00,4189.14,6779.55,6029.59,1270.42,1034.77
07-01-2020 01:30,4105.52,6519.05,5958.83,1204.55,1028.49
07-01-2020 02:00,3961.5,6335.43,5926.89,1149.55,1018.52
07-01-2020 02:30,3883.58,6224.41,5875.5,1125.91,1023.51
07-01-2020 03:00,3832.76,6216.91,5823.4,1119.66,1018.74
07-01-2020 03:30,3825.88,6236.45,5819.25,1131.34,1017.73
07-01-2020 04:00,3829.37,6267.82,5747.19,1117.49,1026.1
07-01-2020 04:30,3896.52,6421.72,5800.8,1114.89,1045.9
07-01-2020 05:00,4018.3,6562.06,5850.75,1101.86,1057.56
07-01-2020 05:30,4228.7,6828.7,5961.72,1102.9,1086.12
07-01-2020 06:00,4395.03,7114.65,6021.96,1139.58,1107.55
07-01-2020 06:30,4641.1,7401.48,6254.49,1199.38,1136.03
07-01-2020 07:00,4809.4,7609.06,6378.36,1230.42,1159.56
07-01-2020 07:30,4794.06,7809.8,6586.29,1207.05,1176.16
07-01-2020 08:00,4872.88,7948.89,6676.58,1158.14,1178.65
07-01-2020 08:30,4875.26,8067.48,6748.78,1113.52,1174.84
07-01-2020 09:00,4822.66,8139.01,6795.38,1050.44,1162.83
07-01-2020 09:30,4841.18,8260.17,6773.4,984.75,1137.73
07-01-2020 10:00,4796.07,8325.74,6735.22,926.6,1108.8
07-01-2020 10:30,4768.47,8258.05,6726.68,885.62,1089.1
07-01-2020 11:00,4752.06,8194.54,6819.3,855.23,1100.54
07-01-2020 11:30,4750.1,8313.6,6752.15,861.62,1104.19
07-01-2020 12:00,4727.34,8469.66,6772.58,865.85,1095.28
07-01-2020 12:30,4684.61,8660.91,6799.47,847.11,1090.1
07-01-2020 13:00,4691.04,8777.79,6918.84,843.57,1091.43
07-01-2020 13:30,4719.66,9024.43,7012.87,908.94,1091.77
07-01-2020 14:00,4679.05,9214.08,7123.99,936.77,1099.16
07-01-2020 14:30,4678.33,9276.32,7250.11,962.03,1108.68
07-01-2020 15:00,4697.66,9439.35,7383.18,1035.3,1108.8
07-01-2020 15:30,4765.64,9672.69,7466.2,1131.16,1100
07-01-2020 16:00,4829.28,10041.62,7714.98,1196.24,1105.58
07-01-2020 16:30,4895.14,10261.25,7900.54,1278.28,1117.98
07-01-2020 17:00,4894.81,10506.18,8177.4,1345.57,1118.81
07-01-2020 17:30,4933.49,10386.73,8174.49,1457.89,1139.87
07-01-2020 18:00,4965.84,10266.32,8175.25,1539.41,1102.79
07-01-2020 18:30,4920,10018.25,8150.07,1610.76,1085.49
07-01-2020 19:00,4844.11,9782.81,8241.61,1618.27,1142.54
07-01-2020 19:30,4781.76,9618.49,8228.79,1596.92,1146.55
07-01-2020 20:00,4749.88,9484.12,8170.18,1556.83,1158.57
07-01-2020 20:30,4721.48,9205.37,8009.5,1497.77,1161.27
07-01-2020 21:00,4596.74,8888.67,7751.13,1442.25,1151.33
07-01-2020 21:30,4520.99,8689.51,7529.19,1375.28,1114.36
07-01-2020 22:00,4387.15,8432.07,7246.82,1317.9,1092.13
07-01-2020 22:30,4345.89,8125.38,7056.85,1269.97,1062.76
07-01-2020 23:00,4358.4,7804.68,6869.38,1222.79,1035.67
07-01-2020 23:30,4634.03,7464.72,6598.94,1237.61,1008.73
08-01-2020 00:00,4564.74,7425.1,6362.89,1419.92,1002.92
08-01-2020 00:30,4282.84,7252.23,6210.81,1353.35,988.65
08-01-2020 01:00,4161.22,7060.66,6031.49,1309.68,983.9
08-01-2020 01:30,4079.21,6829.36,5942.28,1232.53,973.41
08-01-2020 02:00,3956.46,6604.09,5866.97,1191.22,978.56
08-01-2020 02:30,3851.52,6552.39,5815.47,1179.64,981.03
08-01-2020 03:00,3816.91,6476.91,5771.44,1161.59,984.46
08-01-2020 03:30,3814.52,6457.38,5732.51,1157.09,993.04
08-01-2020 04:00,3832.52,6491.6,5742.04,1148.46,1009.44
08-01-2020 04:30,3897.05,6620.72,5791.54,1142.88,1006.02
08-01-2020 05:00,4022.05,6792.79,5832.17,1161.39,1021.62
08-01-2020 05:30,4253.72,7062.72,5881.35,1187.01,1054.17
08-01-2020 06:00,4448.99,7400.72,5961.08,1217.46,1094.14
08-01-2020 06:30,4631.84,7721.23,6126.23,1239.32,1133.64
08-01-2020 07:00,4792.68,8020.27,6258.01,1278.81,1146.37
08-01-2020 07:30,4707.15,8235.45,6452.91,1299.28,1149.1
08-01-2020 08:00,4652.08,8329.77,6512.85,1275.23,1132.15
08-01-2020 08:30,4647.97,8414.21,6592,1257.03,1135.81
08-01-2020 09:00,4557.47,8416.68,6564.84,1213.41,1118.83
08-01-2020 09:30,4522.53,8447.81,6538.89,1185.76,1099.72
08-01-2020 10:00,4493.52,8514.84,6553.57,1163.26,1077.22
08-01-2020 10:30,4486.95,8529.87,6553.33,1162.55,1078.24
08-01-2020 11:00,4445.37,8556.35,6617.36,1166.12,1077.31
08-01-2020 11:30,4439.77,8692.96,6631,1197.84,1064.85
08-01-2020 12:00,4428.65,8790.26,6711.75,1250.54,1046.34
08-01-2020 12:30,4490.48,8882.84,6832.47,1322.8,1036.09
08-01-2020 13:00,4546.74,8969.83,6900.83,1371.29,1033.59
08-01-2020 13:30,4572.05,9146.14,7052.03,1411.54,1031.61
08-01-2020 14:00,4620.56,9263.2,7200.5,1486.03,1042.23
08-01-2020 14:30,4630.62,9285.23,7347.91,1571,1054.92
08-01-2020 15:00,4719.78,9417.24,7544.18,1639.36,1063.96
08-01-2020 15:30,4785.97,9536.21,7754.92,1718.38,1064.47
08-01-2020 16:00,4896.56,9658.11,7966.18,1813.72,1087.37
08-01-2020 16:30,5050.39,9695.87,8164.71,1901.7,1119.95
08-01-2020 17:00,5189.3,9715.67,8388.21,1979.51,1141.07
08-01-2020 17:30,5261.9,9559.51,8386.1,2070.56,1156.04
08-01-2020 18:00,5333.09,9420.28,8397.27,2154.72,1159.61
08-01-2020 18:30,5317.8,9233.5,8287,2222.13,1151.83
08-01-2020 19:00,5274.34,9088.08,8355.06,2211.21,1157.96
08-01-2020 19:30,5223.2,9024.05,8294.4,2147.85,1155.89
08-01-2020 20:00,5182.85,8945.79,8202.06,2037.53,1141.56
08-01-2020 20:30,5124.61,8718.97,8066.74,1934.79,1150.38
08-01-2020 21:00,4974.08,8466.14,7825.31,1870.18,1142.56
08-01-2020 21:30,4829.63,8334.09,7597.04,1755.8,1111.53
08-01-2020 22:00,4673.3,8063.09,7345.83,1643.63,1087.61
08-01-2020 22:30,4539.06,7922.44,7104.23,1545.66,1063.91
08-01-2020 23:00,4437.99,7719.8,6908.01,1483.28,1034.56
08-01-2020 23:30,4615.22,7542.85,6610.68,1484.3,1012.26
09-01-2020 00:00,4585.51,7407.36,6342.35,1598.38,986.39
09-01-2020 00:30,4382.91,7144.97,6203.53,1515.31,942.18
09-01-2020 01:00,4256.59,6980,6053.49,1405.96,939.75
09-01-2020 01:30,4136.45,6692.62,5953.59,1311.98,936.17
09-01-2020 02:00,3988.04,6473.4,5886.01,1275.25,909.33
09-01-2020 02:30,3911.28,6398.58,5836.62,1284.23,923.14
09-01-2020 03:00,3829.91,6351.65,5789.13,1272.24,937.81
09-01-2020 03:30,3829.66,6361.11,5757.99,1275.06,940.77
